time;joint;pos_x;pos_y;poz_z
53.584;11;0.284;0.826;1.391
53.594;11;0.284;0.826;1.391
53.600;11;0.284;0.826;1.391
53.608;11;0.284;0.826;1.391
53.617;11;0.280;0.866;1.356
53.624;11;0.280;0.866;1.356
53.634;11;0.280;0.866;1.356
53.641;11;0.280;0.866;1.356
53.651;11;0.270;0.891;1.355
53.657;11;0.270;0.891;1.355
53.668;11;0.270;0.891;1.355
53.674;11;0.270;0.891;1.355
53.684;11;0.256;0.921;1.349
53.691;11;0.256;0.921;1.349
53.702;11;0.256;0.921;1.349
53.708;11;0.248;0.940;1.351
53.718;11;0.248;0.940;1.351
53.724;11;0.248;0.940;1.351
53.734;11;0.248;0.940;1.351
53.741;11;0.248;0.940;1.351
53.751;11;0.241;0.952;1.351
53.758;11;0.241;0.952;1.351
53.767;11;0.241;0.952;1.351
53.774;11;0.236;0.960;1.349
53.784;11;0.236;0.960;1.349
53.791;11;0.236;0.960;1.349
53.801;11;0.236;0.960;1.349
53.808;11;0.232;0.965;1.349
53.818;11;0.232;0.965;1.349
53.824;11;0.232;0.965;1.349
53.834;11;0.232;0.965;1.349
53.842;11;0.232;0.965;1.349
53.851;11;0.229;0.969;1.348
53.858;11;0.229;0.969;1.348
53.867;11;0.229;0.969;1.348
53.876;11;0.227;0.971;1.347
53.884;11;0.227;0.971;1.347
53.891;11;0.227;0.971;1.347
53.902;11;0.227;0.971;1.347
53.908;11;0.224;0.972;1.348
53.918;11;0.224;0.972;1.348
53.925;11;0.224;0.972;1.348
53.934;11;0.224;0.972;1.348
53.942;11;0.224;0.972;1.348
53.954;11;0.222;0.972;1.352
53.967;11;0.222;0.972;1.352
53.979;11;0.222;0.972;1.352
53.992;11;0.220;0.973;1.355
54.003;11;0.220;0.973;1.355
54.013;11;0.220;0.973;1.355
54.022;11;0.218;0.972;1.356
54.031;11;0.218;0.972;1.356
54.040;11;0.218;0.972;1.356
54.049;11;0.218;0.972;1.356
54.054;11;0.219;0.972;1.361
54.062;11;0.219;0.972;1.361
54.068;11;0.219;0.972;1.361
54.076;11;0.219;0.972;1.361
54.082;11;0.216;0.970;1.358
54.088;11;0.216;0.970;1.358
54.096;11;0.216;0.970;1.358
54.101;11;0.216;0.970;1.358
54.107;11;0.216;0.970;1.358
54.114;11;0.216;0.967;1.362
54.119;11;0.216;0.967;1.362
54.126;11;0.216;0.967;1.362
