time;joint;pos_x;pos_y;poz_z
53.584;11;0.322;0.710;1.045
53.594;11;0.322;0.710;1.045
53.600;11;0.322;0.710;1.045
53.608;11;0.322;0.710;1.045
53.617;11;0.314;0.801;1.035
53.624;11;0.314;0.801;1.035
53.634;11;0.314;0.801;1.035
53.641;11;0.314;0.801;1.035
53.651;11;0.299;0.883;1.024
53.657;11;0.299;0.883;1.024
53.668;11;0.299;0.883;1.024
53.674;11;0.299;0.883;1.024
53.684;11;0.289;0.949;1.004
53.691;11;0.289;0.949;1.004
53.702;11;0.289;0.949;1.004
53.708;11;0.281;0.990;0.997
53.718;11;0.281;0.990;0.997
53.724;11;0.281;0.990;0.997
53.734;11;0.281;0.990;0.997
53.741;11;0.281;0.990;0.997
53.751;11;0.280;1.013;1.030
53.758;11;0.280;1.013;1.030
53.767;11;0.280;1.013;1.030
53.774;11;0.277;1.036;1.034
53.784;11;0.277;1.036;1.034
53.791;11;0.277;1.036;1.034
53.801;11;0.277;1.036;1.034
53.808;11;0.274;1.046;1.041
53.818;11;0.274;1.046;1.041
53.824;11;0.274;1.046;1.041
53.834;11;0.274;1.046;1.041
53.842;11;0.274;1.046;1.041
53.851;11;0.271;1.050;1.046
53.858;11;0.271;1.050;1.046
53.867;11;0.271;1.050;1.046
53.876;11;0.268;1.041;1.055
53.884;11;0.268;1.041;1.055
53.891;11;0.268;1.041;1.055
53.902;11;0.268;1.041;1.055
53.908;11;0.266;1.033;1.059
53.918;11;0.266;1.033;1.059
53.925;11;0.266;1.033;1.059
53.934;11;0.266;1.033;1.059
53.942;11;0.266;1.033;1.059
53.954;11;0.264;1.024;1.060
53.967;11;0.264;1.024;1.060
53.979;11;0.264;1.024;1.060
53.992;11;0.263;1.016;1.058
54.003;11;0.263;1.016;1.058
54.013;11;0.263;1.016;1.058
54.022;11;0.262;1.010;1.056
54.031;11;0.262;1.010;1.056
54.040;11;0.262;1.010;1.056
54.049;11;0.262;1.010;1.056
54.054;11;0.262;1.006;1.054
54.062;11;0.262;1.006;1.054
54.068;11;0.262;1.006;1.054
54.076;11;0.262;1.006;1.054
54.082;11;0.261;1.003;1.052
54.088;11;0.261;1.003;1.052
54.096;11;0.261;1.003;1.052
54.101;11;0.261;1.003;1.052
54.107;11;0.261;1.003;1.052
54.114;11;0.261;1.001;1.050
54.119;11;0.261;1.001;1.050
54.126;11;0.261;1.001;1.050
54.135;11;0.261;1.001;1.050
54.143;11;0.261;1.001;1.050
54.152;11;0.261;0.999;1.050
54.159;11;0.261;0.999;1.050
54.169;11;0.261;0.999;1.050
54.175;11;0.261;0.998;1.049
54.185;11;0.261;0.998;1.049
54.192;11;0.261;0.998;1.049
54.201;11;0.261;0.998;1.049
54.209;11;0.261;0.998;1.049
54.218;11;0.260;0.998;1.050
54.225;11;0.260;0.998;1.050
54.235;11;0.260;0.998;1.050
54.242;11;0.260;0.998;1.050
54.251;11;0.260;0.998;1.051
54.259;11;0.260;0.998;1.051
54.268;11;0.260;0.998;1.051
54.275;11;0.260;0.998;1.052
54.285;11;0.260;0.998;1.052
54.292;11;0.260;0.998;1.052
54.302;11;0.260;0.998;1.052
54.309;11;0.260;0.998;1.052
54.318;11;0.258;0.999;1.068
54.325;11;0.258;0.999;1.068
54.335;11;0.258;0.999;1.068
54.343;11;0.266;1.005;1.055
54.351;11;0.266;1.005;1.055
54.359;11;0.266;1.005;1.055
