time;joint;pos_x;pos_y;poz_z
53.584;11;0.168;0.938;1.576
53.594;11;0.168;0.938;1.576
53.600;11;0.168;0.938;1.576
53.608;11;0.168;0.938;1.576
53.617;11;0.163;0.941;1.576
53.624;11;0.163;0.941;1.576
53.634;11;0.163;0.941;1.576
53.641;11;0.163;0.941;1.576
53.651;11;0.156;0.944;1.575
53.657;11;0.156;0.944;1.575
53.668;11;0.156;0.944;1.575
53.674;11;0.156;0.944;1.575
53.684;11;0.151;0.947;1.575
53.691;11;0.151;0.947;1.575
53.702;11;0.151;0.947;1.575
53.708;11;0.146;0.950;1.574
53.718;11;0.146;0.950;1.574
53.724;11;0.146;0.950;1.574
53.734;11;0.146;0.950;1.574
53.741;11;0.146;0.950;1.574
53.751;11;0.142;0.953;1.574
53.758;11;0.142;0.953;1.574
53.767;11;0.142;0.953;1.574
53.774;11;0.138;0.955;1.573
53.784;11;0.138;0.955;1.573
53.791;11;0.138;0.955;1.573
53.801;11;0.138;0.955;1.573
53.808;11;0.134;0.957;1.573
53.818;11;0.134;0.957;1.573
53.824;11;0.134;0.957;1.573
53.834;11;0.134;0.957;1.573
53.842;11;0.134;0.957;1.573
53.851;11;0.131;0.959;1.572
53.858;11;0.131;0.959;1.572
53.867;11;0.131;0.959;1.572
53.876;11;0.128;0.960;1.572
53.884;11;0.128;0.960;1.572
53.891;11;0.128;0.960;1.572
53.902;11;0.128;0.960;1.572
53.908;11;0.126;0.961;1.572
53.918;11;0.126;0.961;1.572
53.925;11;0.126;0.961;1.572
53.934;11;0.126;0.961;1.572
53.942;11;0.126;0.961;1.572
53.954;11;0.125;0.962;1.572
53.967;11;0.125;0.962;1.572
53.979;11;0.125;0.962;1.572
53.992;11;0.123;0.962;1.572
54.003;11;0.123;0.962;1.572
54.013;11;0.123;0.962;1.572
54.022;11;0.122;0.962;1.572
54.031;11;0.122;0.962;1.572
54.040;11;0.122;0.962;1.572
54.049;11;0.122;0.962;1.572
54.054;11;0.120;0.963;1.572
54.062;11;0.120;0.963;1.572
54.068;11;0.120;0.963;1.572
54.076;11;0.120;0.963;1.572
54.082;11;0.119;0.963;1.572
54.088;11;0.119;0.963;1.572
54.096;11;0.119;0.963;1.572
54.101;11;0.119;0.963;1.572
54.107;11;0.119;0.963;1.572
54.114;11;0.118;0.963;1.572
54.119;11;0.118;0.963;1.572
54.126;11;0.118;0.963;1.572
54.135;11;0.118;0.963;1.572
54.143;11;0.118;0.963;1.572
54.152;11;0.116;0.963;1.573
54.159;11;0.116;0.963;1.573
54.169;11;0.116;0.963;1.573
54.175;11;0.115;0.963;1.573
54.185;11;0.115;0.963;1.573
54.192;11;0.115;0.963;1.573
54.201;11;0.115;0.963;1.573
54.209;11;0.115;0.963;1.573
54.218;11;0.113;0.963;1.574
54.225;11;0.113;0.963;1.574
54.235;11;0.113;0.963;1.574
54.242;11;0.113;0.963;1.574
54.251;11;0.112;0.963;1.575
54.259;11;0.112;0.963;1.575
54.268;11;0.112;0.963;1.575
54.275;11;0.111;0.963;1.575
54.285;11;0.111;0.963;1.575
54.292;11;0.111;0.963;1.575
