time;joint;pos_x;pos_y;poz_z
53.584;11;0.321;0.745;1.120
53.594;11;0.321;0.745;1.120
53.600;11;0.321;0.745;1.120
53.608;11;0.321;0.745;1.120
53.617;11;0.310;0.823;1.107
53.624;11;0.310;0.823;1.107
53.634;11;0.310;0.823;1.107
53.641;11;0.310;0.823;1.107
53.651;11;0.296;0.913;1.134
53.657;11;0.296;0.913;1.134
53.668;11;0.296;0.913;1.134
53.674;11;0.296;0.913;1.134
53.684;11;0.285;0.956;1.076
53.691;11;0.285;0.956;1.076
53.702;11;0.285;0.956;1.076
53.708;11;0.272;0.958;1.129
53.718;11;0.272;0.958;1.129
53.724;11;0.272;0.958;1.129
53.734;11;0.272;0.958;1.129
53.741;11;0.272;0.958;1.129
53.751;11;0.273;0.972;1.138
53.758;11;0.273;0.972;1.138
53.767;11;0.273;0.972;1.138
53.774;11;0.273;0.993;1.139
53.784;11;0.273;0.993;1.139
53.791;11;0.273;0.993;1.139
53.801;11;0.273;0.993;1.139
53.808;11;0.271;1.001;1.143
53.818;11;0.271;1.001;1.143
53.824;11;0.271;1.001;1.143
53.834;11;0.271;1.001;1.143
53.842;11;0.271;1.001;1.143
53.851;11;0.270;1.007;1.145
53.858;11;0.270;1.007;1.145
53.867;11;0.270;1.007;1.145
53.876;11;0.267;1.010;1.145
53.884;11;0.267;1.010;1.145
53.891;11;0.267;1.010;1.145
53.902;11;0.267;1.010;1.145
53.908;11;0.264;1.009;1.146
53.918;11;0.264;1.009;1.146
53.925;11;0.264;1.009;1.146
53.934;11;0.264;1.009;1.146
53.942;11;0.264;1.009;1.146
53.954;11;0.260;1.003;1.149
53.967;11;0.260;1.003;1.149
53.979;11;0.260;1.003;1.149
53.992;11;0.256;0.998;1.151
54.003;11;0.256;0.998;1.151
54.013;11;0.256;0.998;1.151
54.022;11;0.256;0.996;1.150
54.031;11;0.256;0.996;1.150
54.040;11;0.256;0.996;1.150
54.049;11;0.256;0.996;1.150
54.054;11;0.251;0.989;1.153
54.062;11;0.251;0.989;1.153
54.068;11;0.251;0.989;1.153
54.076;11;0.251;0.989;1.153
54.082;11;0.253;0.988;1.148
54.088;11;0.253;0.988;1.148
54.096;11;0.253;0.988;1.148
54.101;11;0.253;0.988;1.148
54.107;11;0.253;0.988;1.148
54.114;11;0.251;0.986;1.149
54.119;11;0.251;0.986;1.149
54.126;11;0.251;0.986;1.149
54.135;11;0.251;0.986;1.149
54.143;11;0.251;0.986;1.149
54.152;11;0.251;0.986;1.150
54.159;11;0.251;0.986;1.150
54.169;11;0.251;0.986;1.150
54.175;11;0.251;0.985;1.152
54.185;11;0.251;0.985;1.152
54.192;11;0.251;0.985;1.152
54.201;11;0.251;0.985;1.152
